,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years,QS501EW_0,QS501EW_1,QS501EW_2,QS501EW_3,QS501EW_4,QS501EW_5,QS501EW_6,QS501EW_7,lat,lon,oa
4181,E15 1UD,539256,185626,1209754,49500,1996-04-10 00:00,F,829090800.0,1996.0,276.0,57.0,34.0,33.0,4.0,24.0,72.0,52.0,51.552343,0.007144,E00021788
4182,DA1 2PU,552588,173345,6919834,352500,2001-12-13 00:00,D,1008201600.0,2001.0,308.0,26.0,46.0,66.0,25.0,40.0,95.0,10.0,51.438611,0.193844,E00122574
4183,NW2 6BN,523613,185690,4125960,80000,1999-03-19 00:00,F,921801600.0,1999.0,425.0,44.0,34.0,31.0,4.0,33.0,200.0,79.0,51.556471,-0.218452,E00002736
4184,NW2 6BN,523613,185690,5126080,105000,2000-12-06 00:00,F,976060800.0,2000.0,425.0,44.0,34.0,31.0,4.0,33.0,200.0,79.0,51.556471,-0.218452,E00002736
4185,GU2 4EL,499228,148915,20608155,625000,2015-07-14 00:00,F,1436828400.0,2015.0,196.0,12.0,4.0,18.0,2.0,16.0,137.0,7.0,51.231185,-0.580302,E00155325
4186,N20 0BL,527301,193564,5576671,97000,2000-11-30 00:00,F,975542400.0,2000.0,302.0,46.0,26.0,52.0,11.0,32.0,103.0,32.0,51.626484,-0.162399,E00001319
4187,KT9 2EB,518702,163438,772637,81000,1995-04-26 00:00,T,798850800.0,1995.0,274.0,51.0,44.0,39.0,15.0,34.0,77.0,14.0,51.357631,-0.296613,E00014852
4188,SE9 2EY,544683,173496,19283107,350000,2014-05-16 00:00,S,1400194800.0,2014.0,332.0,69.0,60.0,56.0,13.0,39.0,77.0,18.0,51.441984,0.080395,E00008038
4189,EN7 5NP,531662,203568,6301783,249995,2001-08-09 00:00,S,997311600.0,2001.0,240.0,43.0,36.0,49.0,13.0,24.0,61.0,14.0,51.715466,-0.095446,E00118439
4190,KT6 5QS,516850,166893,16743730,450000,2010-07-08 00:00,T,1278543600.0,2010.0,256.0,33.0,41.0,47.0,3.0,30.0,97.0,5.0,51.38905,-0.322065,E00154667
4191,BR6 0BW,545112,166729,8985936,373000,2003-10-08 00:00,S,1065567600.0,2003.0,353.0,38.0,44.0,79.0,11.0,49.0,125.0,7.0,51.381069,0.083797,E00003953
4192,N19 5DY,528983,186795,11264432,166000,2004-07-02 00:00,F,1088722800.0,2004.0,245.0,69.0,19.0,27.0,1.0,17.0,80.0,32.0,51.565288,-0.140512,E00013810
4193,WD3 4EA,504836,195689,15864139,770000,2009-10-05 00:00,D,1254697200.0,2009.0,318.0,33.0,23.0,40.0,4.0,28.0,171.0,19.0,51.65023,-0.486087,E00120931
4194,EN2 0DA,532840,197739,15308520,320000,2008-11-04 00:00,T,1225756800.0,2008.0,226.0,22.0,30.0,33.0,7.0,26.0,99.0,9.0,51.662749,-0.080783,E00007022
4195,SE3 7NU,539716,177606,17150461,267000,2011-07-08 00:00,F,1310079600.0,2011.0,235.0,28.0,12.0,19.0,4.0,20.0,135.0,17.0,51.480162,0.010598,E00007871
4196,RH7 6QH,540311,142766,6717042,150000,2001-12-20 00:00,S,1008806400.0,2001.0,278.0,36.0,40.0,51.0,5.0,33.0,103.0,10.0,51.166936,0.005456,E00157156
4197,NW6 1UT,525510,185104,350348,60000,1995-09-21 00:00,F,811638000.0,1995.0,293.0,10.0,7.0,11.0,1.0,15.0,188.0,61.0,51.550874,-0.191194,E00004853
4198,BR3 1JQ,536040,170323,1923221,72000,1997-03-20 00:00,F,858816000.0,1997.0,262.0,21.0,26.0,30.0,5.0,31.0,140.0,9.0,51.41561,-0.045103,E00003890
4199,HA0 2LQ,516797,185146,1319999,75000,1996-12-19 00:00,T,850953600.0,1996.0,213.0,52.0,25.0,20.0,4.0,12.0,70.0,30.0,51.553112,-0.316771,E00002941
4200,TN6 1RW,551475,131358,8395794,81000,2002-02-22 00:00,F,1014336000.0,2002.0,245.0,29.0,37.0,43.0,13.0,22.0,93.0,8.0,51.061583,0.160228,E00107502
4201,TW7 5BA,515885,176380,20632966,360000,2015-05-20 00:00,F,1432076400.0,2015.0,294.0,31.0,21.0,29.0,6.0,39.0,139.0,29.0,51.474523,-0.332812,E00168883
4202,CM2 7SA,575469,205019,4136036,127500,1999-07-14 00:00,D,931906800.0,1999.0,227.0,37.0,32.0,43.0,14.0,23.0,68.0,10.0,51.71645,0.53869,E00109588
4203,CR0 9LL,536105,162780,4109532,53995,1999-04-09 00:00,T,923612400.0,1999.0,222.0,40.0,31.0,37.0,5.0,42.0,60.0,7.0,51.34781,-0.047056,E00005314
