,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years,QS501EW_0,QS501EW_1,QS501EW_2,QS501EW_3,QS501EW_4,QS501EW_5,QS501EW_6,QS501EW_7,lat,lon,oa
1450,CM7 9LL,576948,223887,11741772,102500,2005-12-16 00:00,F,1134691200.0,2005.0,152.0,22.0,31.0,31.0,6.0,21.0,23.0,18.0,51.885451,0.569596,E00108465
1451,DA4 0DE,554904,166743,3765554,146500,1998-07-21 00:00,S,900975600.0,1998.0,274.0,40.0,26.0,43.0,7.0,40.0,104.0,14.0,51.378385,0.22387,E00124023
1452,KT6 4BP,518048,167756,15899721,224000,2009-04-09 00:00,F,1239231600.0,2009.0,201.0,24.0,15.0,16.0,3.0,20.0,114.0,9.0,51.396567,-0.304554,E00015052
1453,CR0 1RU,531812,165309,11882474,194000,2005-03-14 00:00,T,1110758400.0,2005.0,253.0,37.0,40.0,35.0,5.0,35.0,76.0,25.0,51.371549,-0.107726,E00005854
1454,CR0 4SX,530538,165248,14055727,134950,2007-06-20 00:00,F,1182294000.0,2007.0,269.0,63.0,49.0,44.0,12.0,28.0,61.0,12.0,51.371295,-0.126055,E00020540
1455,CM3 3AD,576381,210671,4737763,68750,1999-03-12 00:00,S,921196800.0,1999.0,251.0,67.0,46.0,32.0,13.0,25.0,65.0,3.0,51.766931,0.554726,E00109407
1456,W14 0AN,523742,179673,18807105,422250,2013-08-30 00:00,F,1377817200.0,2013.0,254.0,17.0,15.0,14.0,1.0,22.0,169.0,16.0,51.502447,-0.2186,E00009258
1457,DA7 4PR,548550,176744,20450035,310000,2015-11-26 00:00,T,1448496000.0,2015.0,265.0,76.0,63.0,48.0,5.0,17.0,43.0,13.0,51.470168,0.137358,E00001738
1458,TN8 6JQ,543942,147510,15372899,207500,2008-04-25 00:00,F,1209078000.0,2008.0,394.0,44.0,50.0,70.0,14.0,64.0,139.0,13.0,51.208792,0.059216,E00123994
1459,BR1 4RQ,539539,171227,13444539,170000,2006-10-17 00:00,T,1161039600.0,2006.0,220.0,80.0,27.0,24.0,6.0,27.0,41.0,15.0,51.422884,0.005537,E00016394
1460,TN8 5GD,544306,146542,19410902,60000,2014-10-24 00:00,F,1414105200.0,2014.0,256.0,38.0,38.0,56.0,10.0,29.0,77.0,8.0,51.199876,0.064029,E00172102
1461,SE9 5NB,542071,174113,1233293,39000,1996-06-26 00:00,F,835743600.0,1996.0,262.0,97.0,29.0,40.0,4.0,30.0,48.0,14.0,51.448189,0.043086,E00008243
1462,E16 2QN,544016,180701,19240781,325000,2014-01-27 00:00,F,1390780800.0,2014.0,192.0,2.0,12.0,14.0,1.0,13.0,133.0,17.0,51.506895,0.073768,E00174977
1463,WD3 8QL,503731,194072,20565455,330000,2015-07-03 00:00,S,1435878000.0,2015.0,252.0,65.0,37.0,43.0,17.0,27.0,52.0,11.0,51.635901,-0.502531,E00121044
1464,SL6 1XL,489964,181158,948799,175000,1996-04-11 00:00,D,829177200.0,1996.0,250.0,15.0,22.0,30.0,7.0,27.0,137.0,12.0,51.522184,-0.704703,E00083769
1465,W13 9JJ,516494,180073,18687690,325000,2013-02-01 00:00,F,1359676800.0,2013.0,326.0,32.0,19.0,34.0,6.0,31.0,152.0,52.0,51.507589,-0.322829,E00006903
1466,SM2 5TQ,526415,163362,18275975,247500,2012-04-20 00:00,F,1334876400.0,2012.0,214.0,23.0,24.0,18.0,5.0,29.0,98.0,17.0,51.355268,-0.185925,E00020919
1467,BR1 4EA,540399,170182,7446336,79000,2001-04-10 00:00,F,986857200.0,2001.0,357.0,41.0,39.0,57.0,5.0,34.0,163.0,18.0,51.413396,0.017647,E00003998
1468,WD3 8YJ,503997,193798,540627,95000,1995-06-02 00:00,D,802047600.0,1995.0,183.0,44.0,20.0,23.0,8.0,22.0,59.0,7.0,51.633371,-0.498757,E00121034
1469,AL3 6HL,514795,209362,1807394,113950,1997-06-17 00:00,S,866502000.0,1997.0,234.0,67.0,32.0,41.0,7.0,20.0,57.0,10.0,51.771171,-0.337702,E00120216
1470,E11 4JF,538801,186098,7773765,85000,2002-05-30 00:00,F,1022713200.0,2002.0,361.0,86.0,25.0,36.0,5.0,34.0,115.0,60.0,51.556625,0.000754,E00021817
1471,TN3 9RH,553092,137214,13109779,223500,2006-10-27 00:00,S,1161903600.0,2006.0,215.0,27.0,30.0,38.0,4.0,30.0,79.0,7.0,51.113783,0.185751,E00107567
1472,IG4 5DB,542125,188489,14081480,230000,2007-11-02 00:00,T,1193961600.0,2007.0,335.0,44.0,29.0,60.0,6.0,34.0,129.0,33.0,51.577354,0.049653,E00018511
1473,ME2 4JB,574091,169929,14321760,185000,2007-06-08 00:00,T,1181257200.0,2007.0,227.0,49.0,37.0,45.0,13.0,24.0,42.0,17.0,51.401711,0.501389,E00081573
1474,LU7 2XY,490100,225454,5556275,69500,2000-08-25 00:00,S,967158000.0,2000.0,228.0,17.0,29.0,48.0,8.0,28.0,96.0,2.0,51.920367,-0.691385,E00088892
1475,N17 7DY,532459,190952,1681982,57500,1996-12-20 00:00,T,851040000.0,1996.0,297.0,71.0,43.0,44.0,4.0,24.0,81.0,30.0,51.601839,-0.088825,E00010498
1476,LU2 0JW,510030,221859,7174054,79000,2001-09-27 00:00,T,1001545200.0,2001.0,228.0,79.0,32.0,43.0,3.0,24.0,28.0,19.0,51.884434,-0.402748,E00079483
1477,CM3 7AL,579839,196581,2783810,189500,1997-07-25 00:00,D,869785200.0,1997.0,285.0,23.0,43.0,62.0,9.0,49.0,94.0,5.0,51.639241,0.597522,E00109778
1478,IG7 4JE,545095,192415,4716632,125000,1999-06-21 00:00,S,929919600.0,1999.0,214.0,58.0,36.0,30.0,4.0,14.0,63.0,9.0,51.611874,0.094105,E00018721
1479,GU1 2RW,501614,150068,16690318,370000,2010-04-30 00:00,S,1272582000.0,2010.0,299.0,26.0,24.0,34.0,8.0,20.0,181.0,6.0,51.240821,-0.544821,E00155258
